ticker,impact
GRMN,-0.0007511550774558878
CRWD,-0.0007235297211747551
HOOD,-0.0007153254020498417
PLTR,-0.000669102348712848
HWM,-0.000550199963341586
UBER,-0.0005471025806737806
PAYC,-0.00048264156754017297
MMM,-0.00046893798480608206
CSCO,-0.00044349610570796255
PGR,-0.00043893930998547214
ROP,-0.0004295036967255601
IBM,-0.0004265445916622793
BA,-0.00041468567205505606
ZS,-0.00040054312143381624
EQT,-0.0003936974816399457
FTNT,-0.0003843446211220528
FOX,-0.0003822980349930453
FOXA,-0.00038143358058967245
TDG,-0.0003799855377403024
PAYX,-0.0003752443154977678
DPZ,-0.000370734443729465
WELL,-0.00036729711735208084
GE,-0.00036388729090737655
TPR,-0.0003570590802669556
TDY,-0.00035224630394013414
YUM,-0.00034851055485454383
RTX,-0.000346449470141532
LUV,-0.0003438425481346974
BR,-0.00033542724074377947
INTU,-0.0003345728539758997
AJG,-0.00032580955321046635
ALL,-0.0003206809328581845
GL,-0.0003160747913815027
FICO,-0.0003157498465610091
CPAY,-0.00031519146918822043
JBL,-0.00031229786627307005
NFLX,-0.0003100024943663982
JCI,-0.00030427931133924824
EXPD,-0.00030156415921905405
TTWO,-0.0002973206648930292
INTC,-0.0002924725730694698
BSX,-0.00028506923266661123
APH,-0.00028218200438817577
CHTR,-0.0002787713018898752
VTR,-0.0002733196880180036
PODD,-0.0002663748020928972
AAPL,-0.00026320457202282484
GDDY,-0.00026000822635690994
CTVA,-0.00025806673280147363
FCX,-0.00025694181690191493
WTW,-0.0002517791350176786
TMUS,-0.00024978024009061147
CTAS,-0.00024538288866030093
TKO,-0.00024198251095050366
GILD,-0.0002372682670006547
UDR,-0.00023331549946773242
HAS,-0.00023016825433465836
V,-0.00022229725286601195
EBAY,-0.00021591868150954674
OTIS,-0.00021361094461941376
ADP,-0.000209433473913891
AIZ,-0.00020655377803454188
ABT,-0.00020569208153423923
BRO,-0.0002024544087653185
MAA,-0.00019957241269653053
DE,-0.0001980028301761163
PDD,-0.000195412557408009
CINF,-0.0001940312439987676
GEV,-0.00019215755226781458
SOLV,-0.00018662732924142733
AFL,-0.00018100635385107246
TRV,-0.0001784874599737856
CVX,-0.00017650185717685746
ETR,-0.0001684751227196616
LW,-0.00016547028664811762
GLW,-0.0001631870575475112
AON,-0.00015646563707461892
ERIE,-0.00015528469885631993
JKHY,-0.00015276073337642835
MPWR,-0.0001509179086422927
EG,-0.0001492266572900949
KMI,-0.000147942753930218
ESS,-0.00014706131334522415
BKNG,-0.0001457899106642317
TSLA,-0.00014096424032342754
KLAC,-0.00014038426693480698
AMGN,-0.00013910381567455995
DGX,-0.0001388464052872912
HIG,-0.0001385948833141752
LIN,-0.0001377922977274636
PFG,-0.0001367020709612636
BMY,-0.00013406511669318514
MMC,-0.00013186581081292635
ABBV,-0.00012989503482162238
INVH,-0.00012946967828545404
LRCX,-0.00012702037064630248
VRSK,-0.00012557351719732604
CPT,-0.0001200727158225794
L,-0.0001148511368250218
HUM,-0.00011196517918780206
CSGP,-0.00011160124583074846
TSCO,-0.00010890240668022737
PSKY,-0.00010242456829750504
MCD,-0.00010104419794034062
VRTX,-9.989877970042074e-05
LKQ,-9.922841812394585e-05
PM,-9.813790032943871e-05
CHRW,-9.677316361192685e-05
CTRA,-9.594856644794759e-05
FFIV,-9.49759108722667e-05
ACGL,-9.372385327616355e-05
CMG,-9.12434696358473e-05
GFS,-8.219877578682627e-05
IP,-8.035847837939952e-05
AEE,-7.894211100118465e-05
AIG,-7.536832958249472e-05
VICI,-7.447940172800496e-05
WM,-7.222365157587006e-05
CDNS,-7.2037179508312e-05
TRI,-6.872754299603436e-05
AKAM,-6.822847528027519e-05
CB,-6.549124117845859e-05
WMB,-6.35644445096895e-05
CARR,-5.5895482872832484e-05
MSI,-4.8905979942308174e-05
CF,-4.4935789036652045e-05
STE,-4.373661097375905e-05
EW,-4.3703532123216995e-05
MKC,-4.042499410249818e-05
CCEP,-3.992873596833015e-05
XOM,-3.4958479219613956e-05
CVS,-3.476946304383163e-05
ROL,-3.1256000630326697e-05
COP,-3.1214998986135354e-05
BALL,-3.081024105457313e-05
WEC,-2.8874494547476066e-05
LHX,-2.810700982196374e-05
SNA,-2.6602024070725523e-05
EXE,-2.5996456308505297e-05
BRK-B,-2.515134001192779e-05
PCG,-2.0991397112946096e-05
NVR,-1.798515909989491e-05
RSG,-1.7018990137203888e-05
GM,-1.626016709517391e-05
TSN,-1.6170778971576773e-05
GD,-1.4230473957387847e-05
SO,-1.2493974601306433e-05
DRI,-1.2449836113145598e-05
KMB,-1.1795074652286871e-05
AEP,-9.851297578617217e-06
MO,-7.911348629172842e-06
KO,-6.6613422354754354e-06
CMS,-3.2359270534925776e-06
ALLE,-2.6382358282726298e-06
DTE,-2.2286365191043457e-06
FE,-1.3256999256712998e-06
STZ,0.0
CBRE,-0.0
CMCSA,-0.0
COF,-0.0
SCHW,-0.0
SYY,-0.0
FISV,-0.0
LNT,-0.0
MDT,-0.0
MA,-0.0
MELI,-0.0
MET,-0.0
O,-0.0
OKE,-0.0
DASH,-0.0
DHI,0.0
DVN,-0.0
EFX,-0.0
EIX,-0.0
LMT,-0.0
MSFT,-0.0
NRG,-0.0
REG,-0.0
Q,0.0
CAG,0.0
TYL,-0.0
TXN,-0.0
VMC,-0.0
XEL,-0.0
ROST,-0.0
PPL,-0.0
PNW,-0.0
CHD,-0.0
JNJ,-0.0
JPM,-0.0
KVUE,-0.0
TRGP,-0.0
TRMB,-0.0
BAX,-0.0
TPL,-0.0
AZN,-0.0
ATO,-0.0
AVY,-0.0
AXON,-0.0
ITW,-0.0
ICE,-0.0
SOLS,0.0
SPGI,-0.0
STLD,-0.0
TEL,-0.0
GEN,-0.0
HON,-0.0
WDAY,-0.0
WBD,-0.0
WAB,-0.0
AES,-0.0
FIS,6.565052814549684e-07
FAST,8.101172627417609e-06
SBAC,8.206244574203054e-06
MLM,1.0808403078936628e-05
BG,1.0821283372917495e-05
EVRG,1.1308004008115787e-05
TJX,1.1646576345516144e-05
FSLR,1.2144245792149535e-05
KDP,1.2543028175200186e-05
BF-B,1.5431795926526278e-05
PHM,1.5652605965511813e-05
VZ,1.5735698308022624e-05
CPRT,1.661416635012337e-05
CL,1.6633683275056003e-05
DUK,2.3607886237306214e-05
LDOS,2.4330130509495046e-05
K,2.544131162373207e-05
ES,3.1346027526744455e-05
SHW,3.320050336145039e-05
MDLZ,3.372470088987455e-05
NI,3.482271397369919e-05
GIS,3.5960136791103714e-05
UHS,3.638295324486302e-05
GPC,3.945643278845805e-05
CME,3.9557315392855666e-05
D,4.22685705733106e-05
PWR,4.7700679226645876e-05
HOLX,4.785831427328499e-05
TT,5.033488543992894e-05
PG,5.049686457767336e-05
AOS,5.183284534970996e-05
EXC,5.399008725780453e-05
DLTR,5.46232392174132e-05
HSY,5.47552886984859e-05
ADM,5.5459912225213233e-05
BDX,5.5949526343513495e-05
CPB,5.725643665865354e-05
HRL,5.920735407916323e-05
MOS,6.89116912577523e-05
FDS,7.379489710551956e-05
TAP,7.397584886077905e-05
ROK,7.82101316412089e-05
KHC,7.911633056220863e-05
EA,7.973840050826317e-05
BK,8.587157258858973e-05
MTCH,8.652151896423378e-05
TXT,8.678628083112086e-05
OXY,8.861866692258057e-05
LOW,8.914248343314431e-05
DAY,8.941968304341562e-05
NDAQ,9.032415520855607e-05
F,9.11332192865176e-05
T,9.470807747130807e-05
CBOE,9.493218613062584e-05
GWW,9.605062914918901e-05
POOL,9.78617912033856e-05
WY,9.813527515768445e-05
PEP,0.00010178213884289799
DOC,0.00010280484904978538
AMCR,0.00010346040305488832
DVA,0.00010525422823470131
ECL,0.00010558908942547676
WAT,0.00010843056929664885
FTV,0.00010977317770576553
LLY,0.00011199845093466689
AMD,0.00011592432309363789
RMD,0.00011742821880468038
EQR,0.0001192685514034162
PPG,0.00012097275094334292
PRU,0.00012239196242016699
VLTO,0.0001241978175815157
SMCI,0.0001243772235742882
MHK,0.0001244565367961483
VRSN,0.00012943890107284275
J,0.00012944084474504928
HSIC,0.0001346920624468649
EOG,0.00013476629849700332
COST,0.00013998036022204487
PEG,0.00014230088600565046
ADSK,0.00014555238904377307
CLX,0.00015105119139199717
LII,0.00015158699030193873
SHOP,0.0001522608752879588
PSA,0.00015537956399202938
LYV,0.00016408235903649006
ZTS,0.00016930420923545018
HD,0.00017075584250769707
MNST,0.00017181405952555745
ZBH,0.00017191625311754142
PCAR,0.00017389433031153934
BLDR,0.0001769562462430215
CAH,0.00017720757115931038
ASML,0.00017855962731842917
NEE,0.00018439683354934912
WYNN,0.00018587331015746186
WMT,0.00018788061663936015
RL,0.00018810739966289826
SJM,0.0001922250130592869
LH,0.00019327687840416815
SW,0.00019514110852481006
NWSA,0.00019780824960304489
URI,0.00019816500180206534
PKG,0.00019861652455498404
ORLY,0.00019887746615375438
COO,0.00019949104370693504
QCOM,0.00020216846023897559
WFC,0.00020456611709338785
APD,0.00020465506881092518
IFF,0.00020960494144275
SLB,0.00021019475715628786
AWK,0.00022007733067638238
AMZN,0.00022544309143520227
SYK,0.00022729227850908873
RCL,0.00022864614558074862
MSCI,0.00023082442853641753
STT,0.00023461059169024783
AVB,0.0002391099514386424
PH,0.00023989229906853614
PANW,0.0002422094786999973
MRK,0.00024239752838719935
DHR,0.0002448269778311775
CI,0.0002463218127944532
UNP,0.00024702825149455104
NSC,0.00024905320258372616
BEN,0.00025021925989987775
NEM,0.0002545389186553419
KEYS,0.00025488180406825495
IDXX,0.00026373063092147847
FANG,0.00026486996140806263
PFE,0.0002650665236151885
HUBB,0.0002664179447339406
KIM,0.0002676603409513233
CNP,0.0002709798268707176
VLO,0.0002770093284490569
NWS,0.00028160472895883955
DLR,0.00028708540607949427
C,0.00029600563722560123
LEN,0.00029687012551068694
WST,0.00029781493205358024
SWKS,0.00030049886531823586
AXP,0.0003061885541351677
BXP,0.0003064698718582847
IR,0.0003087062202474817
ULTA,0.0003102673694574353
KR,0.0003108469895401877
NOC,0.00031258113625183076
GPN,0.000315200359268139
EMR,0.000317911737942958
APTV,0.0003183127166627382
CDW,0.00031938241688328375
FDX,0.0003242245638716126
CNC,0.00032568959442777804
APA,0.0003259585380577472
GOOG,0.0003261413100074663
SRE,0.0003269042368140211
CCI,0.0003291184185703432
PTC,0.00033227830665984523
WRB,0.0003327067765830112
INCY,0.0003340540996303791
IRM,0.00033761075378152024
BLK,0.00033961780944426304
AME,0.0003404655329935488
FRT,0.0003413081433001864
ODFL,0.0003418247742717472
AMT,0.00034258980802450085
HCA,0.00034408574159926507
ADI,0.000345241885024842
GOOGL,0.0003466811633954308
EME,0.0003472895140404445
ETN,0.00034784347501010256
NTRS,0.0003546547101542611
PNR,0.0003550852663506312
ED,0.0003574203842047586
EXR,0.00035876109562110823
BKR,0.00035981649014322017
UNH,0.000365037160510391
NOW,0.0003732299462745995
CAT,0.0003837792994280052
OMC,0.0003903424885585055
SNPS,0.00039841095436165
NVDA,0.00040284135620946197
RJF,0.00040391321528286206
EXPE,0.0004073067238298686
CSX,0.0004073904140511786
MAS,0.00040927000467940285
IEX,0.00041220274033607225
AMP,0.0004164972126189381
MSTR,0.0004192962907920923
NUE,0.00043628831857194726
ISRG,0.0004394505410972677
SPG,0.00044357709692103875
ACN,0.000444624722814441
DOV,0.000446298301518262
MPC,0.0004633398633883399
HII,0.0004698446064670542
CTSH,0.0004719036801717281
MCK,0.0004783780847752097
NXPI,0.0004785420478733059
PLD,0.0004879481389622368
AZO,0.0004899690772229164
MCO,0.0005009855719237982
GS,0.000501824315337543
DD,0.0005073523868414134
ELV,0.0005151031512713146
ORCL,0.0005285152073273393
ALGN,0.0005392119504195354
BIIB,0.0005453316273866143
GNRC,0.0005475750522118757
SYF,0.000549013831310274
MS,0.0005594791218927692
DELL,0.0005634215723006154
RVTY,0.0005669495152300618
ADBE,0.0005750850977105518
NTAP,0.0005792702815936378
TMO,0.0005792998301903726
HBAN,0.0005857198736984257
XYL,0.0005934798618370151
CRM,0.0005988247189726801
BAC,0.0006095392378316945
HPQ,0.0006166660674735865
META,0.0006216432686680253
BX,0.000625182772339035
NDSN,0.0006322831230961946
IVZ,0.0006345117975982946
ALB,0.0006361280639356307
RF,0.0006384218677143165
AMAT,0.0006410121297720774
MTB,0.0006435598101127703
APO,0.0006458182824178353
PNC,0.0006548611200224969
MU,0.0006596915855122997
HLT,0.0006623394752647966
UPS,0.0006627787166097136
AVGO,0.000663212565083533
MAR,0.0006634735131926236
SBUX,0.000684213680371295
CMI,0.0006853107747211163
JBHT,0.0006880198788527975
ABNB,0.0006941942721441752
A,0.0006969252197473708
LYB,0.0007029438050916868
TECH,0.0007176575982054594
MGM,0.000719760356160238
ZBRA,0.000721682406480864
BBY,0.0007258474221058143
KEY,0.0007342903204603798
REGN,0.0007364188554704361
PYPL,0.0007373135357441926
IQV,0.0007386101786455179
WSM,0.0007386419926727428
APP,0.0007657527426978915
FITB,0.0007740241075714431
GEHC,0.0007802993873401185
EL,0.0007863020990804365
HST,0.0007863291737129485
ANET,0.0007891982309504378
IBKR,0.0007999901464339032
HAL,0.0008025017738887338
IT,0.0008073230297340666
ARE,0.0008145488754901045
DOW,0.0008164963183237913
USB,0.0008287894017630985
EQIX,0.000840333496596091
TEAM,0.0008499426316367131
PSX,0.0008558542849241754
COR,0.0008573242581685499
MTD,0.000872915939811452
STX,0.0008738583666971183
XYZ,0.000888939409888195
TFC,0.0009002617481168719
DDOG,0.0009083912669865256
CFG,0.0009354495215390502
CCL,0.0009481374090241911
TROW,0.0009622697413390844
MOH,0.000999357589204781
DXCM,0.001015843177684801
SWK,0.0010317807248270965
KKR,0.0010789167063183676
ARM,0.001125201869604632
DIS,0.0011260109344518922
HPE,0.0011533490450131825
WDC,0.0011569320354565908
MRNA,0.001167116830467335
TGT,0.00119184114312011
DECK,0.0011959337790838484
CRL,0.0012259997909620814
NCLH,0.0012314560333147886
LULU,0.0012675414668185147
ON,0.001312803613100325
NKE,0.0013374538922592157
VST,0.0013451657196489177
VTRS,0.0013538516188133425
EPAM,0.0014097840399633808
TER,0.0015196095673105487
COIN,0.001567208104041086
LVS,0.001699134452667081
CEG,0.001714993987056546
UAL,0.001863774233048988
MCHP,0.0018770852216339507
DAL,0.001901207300910155
TTD,0.0025370313603104186
DG,0.0025978743749793774
MRVL,0.0026789510348274584
