week_start,predicted_portfolio_gain,realized_portfolio_gain,n_untradeable,strategy
2020-12-29,0.039141180054849824,0.0,0,longonly
2021-01-05,0.178288358261731,0.28002008593780703,0,longonly
2021-01-12,0.2118610493411344,-0.10111843399108295,0,longonly
2021-01-19,0.24532112736886616,0.031768719125304726,0,longonly
2021-01-26,1.7056676099286239,-0.009181012988248523,0,longonly
2021-02-02,16.26548628687071,0.16482966055858922,0,longonly
2021-02-09,23.55765756275924,0.00032564358676005767,0,longonly
2021-02-16,8.121747113589974,0.0420160035524131,0,longonly
2021-02-23,7.523309879681613,0.0005799680495149938,0,longonly
2021-03-02,8.684972105547361,0.25226928042711627,0,longonly
2021-03-09,11.332290688354288,0.07641194049890912,0,longonly
2021-03-16,14.193835725569935,0.04235489551521166,0,longonly
2021-03-23,8.641809984309749,0.04345421160057036,0,longonly
2021-03-30,34.27867279576472,0.0628600060863127,0,longonly
2021-04-06,5.809668773058944,0.025036186070983627,0,longonly
2021-04-13,4.5058920869331445,0.029708019759252812,0,longonly
2021-04-20,7.614931225774397,0.03876578305520489,0,longonly
2021-04-27,18.99417954838986,-0.14370363656466228,0,longonly
2021-05-04,11.483198448927222,0.1444886933602684,0,longonly
2021-05-11,12.35765251281363,0.030535632731254026,0,longonly
2021-05-18,15.543208040251749,0.02015991104342206,0,longonly
2021-05-25,14.069558095366771,0.02904263766063812,0,longonly
2021-06-01,27.427619490111454,0.08381438646197983,0,longonly
2021-06-08,39.09208472619832,-0.11859928327359533,0,longonly
2021-06-15,35.470966064088024,0.04367553247760611,0,longonly
2021-06-22,103.74076936214985,0.017246597598394687,0,longonly
2021-06-29,126.69801577484064,-0.1312675653401663,0,longonly
2021-07-06,73.14667663574818,0.21645243322972557,0,longonly
2021-07-13,109.16196046103123,0.01356654130464994,0,longonly
2021-07-20,118.81509413612103,0.036087835183465256,0,longonly
2021-07-27,97.86661897709563,-0.23121403404665697,0,longonly
2021-08-03,61.95842285029214,0.5100689338569915,0,longonly
2021-08-10,73.28251345679845,0.04954561967388305,0,longonly
2021-08-17,57.30796409873357,0.02011467806635595,0,longonly
2021-08-24,69.05296017891686,0.026681571356410444,0,longonly
2021-08-31,65.59090901112421,-0.18136562117606644,0,longonly
2021-09-07,92.8074771704291,0.1891028196036304,0,longonly
2021-09-14,105.72151333753551,-0.0047215351458550535,0,longonly
2021-09-21,112.35202204759852,0.044815063914042955,0,longonly
2021-09-28,94.5752183559214,-0.009680804143299911,0,longonly
2021-10-05,156.98030648431572,0.31894294664345835,0,longonly
2021-10-12,178.2442411848146,0.057002090940288984,0,longonly
2021-10-19,120.5372515382351,0.0373423941782294,0,longonly
2021-10-26,141.1735131181009,-0.26156138659764055,0,longonly
2021-11-02,151.4665815993895,0.17443040020042822,0,longonly
2021-11-09,133.263409014544,0.25631097476028364,0,longonly
2021-11-16,151.4327955212388,-0.001858171842132259,0,longonly
2021-11-23,197.47107951625898,0.021493563127407522,0,longonly
2021-11-30,60.61081400359299,-0.26477667383830655,0,longonly
2021-12-07,95.37824351062622,0.2953984522027988,0,longonly
2021-12-14,58.55578644946307,0.020863763631129743,0,longonly
2021-12-21,106.80240224562868,0.04927408940717019,0,longonly
2021-12-28,94.68281521738824,-0.16146998137395022,0,longonly
2022-01-04,84.94280308018537,-0.13033388530696943,0,longonly
2022-01-11,83.93435602271018,-0.10829965232425122,0,longonly
2022-01-18,83.10956213061587,-0.03669446280739563,0,longonly
2022-01-25,235.10715768020233,0.012418358071643978,0,longonly
2022-02-01,231.28819677246602,0.10959633657665395,0,longonly
2022-02-08,123.98110881091424,0.07025233972483427,0,longonly
2022-02-15,96.7776165848129,-0.008384018445820679,0,longonly
2022-02-22,85.53635733240893,0.06533679695532046,0,longonly
2022-03-01,270.2726775927648,0.25124392092175,0,longonly
2022-03-08,325.63474068034424,0.029434216849616404,0,longonly
2022-03-15,138.53848440527761,0.059457167838321986,0,longonly
2022-03-22,227.70437547979336,0.039474234342895924,0,longonly
2022-03-29,119.34310267308497,0.018381539712238062,0,longonly
2022-04-05,156.44745088154974,0.04871626184913752,0,longonly
2022-04-12,224.32767241402402,0.11159903410430261,0,longonly
2022-04-19,131.42578981020904,-0.023272416732447287,0,longonly
2022-04-26,110.41395925582863,0.011090891736004345,0,longonly
2022-05-03,191.0946551135875,0.08226054721500027,0,longonly
2022-05-10,134.50930821210486,0.04732318296324067,0,longonly
2022-05-17,225.8002952774761,-0.0053670379279754064,0,longonly
2022-05-24,323.3049137696489,0.05978402641281908,0,longonly
2022-05-31,171.5373212483671,0.04209308359099833,0,longonly
2022-06-07,291.49214657164464,0.13947540056996838,0,longonly
2022-06-14,108.12036486530697,-0.04152227838496808,0,longonly
2022-06-21,107.70037115891262,0.05028224948748523,0,longonly
2022-06-28,73.5970561645756,-0.006025663856084493,0,longonly
2022-07-05,39.09462251280908,-0.002413527888826245,0,longonly
2022-07-12,46.78011521864424,-0.07972606659462206,0,longonly
2022-07-19,50.122745184801666,0.02745069476416965,0,longonly
2022-07-26,52.27665583480437,0.08869020741483472,0,longonly
2022-08-02,60.18896096642983,0.16460358997614313,0,longonly
2022-08-09,115.3781008570187,0.028648612941994046,0,longonly
2022-08-16,160.44723362886143,-0.006055944610539166,0,longonly
2022-08-23,220.30538917599213,0.025156972702199014,0,longonly
2022-08-30,244.51723209910358,-0.19572371267139327,0,longonly
2022-09-06,203.70190163301731,0.27086306079753447,0,longonly
2022-09-13,204.5925299560852,0.008134850301525165,0,longonly
2022-09-20,174.34164284420453,-0.04254946501661233,0,longonly
2022-09-27,177.22357770712853,-0.11606456225829767,0,longonly
2022-10-04,127.01552450503547,0.21986118081725586,0,longonly
2022-10-11,102.41246078847095,-0.0996517620127332,0,longonly
2022-10-18,135.44556690655625,0.07069976506659635,0,longonly
2022-10-25,98.89964111070834,0.05858463403380107,0,longonly
2022-11-01,91.38421514154426,-0.1778970496799783,0,longonly
2022-11-08,93.36212479485751,0.15245162220130862,0,longonly
2022-11-15,152.78657495309807,-0.002789878212028961,0,longonly
2022-11-22,97.17192926496766,-0.0014457769091390424,0,longonly
2022-11-29,41.46212008922593,-0.19894152007774032,0,longonly
2022-12-06,46.828357225113464,0.28851271361147324,0,longonly
2022-12-13,32.76306319977789,-0.03330990692354966,0,longonly
2022-12-20,49.95697412097642,0.02470355978207028,0,longonly
2022-12-27,36.46121526427673,0.08747191383550426,0,longonly
2023-01-03,68.45977155987289,0.07625036200908156,0,longonly
2023-01-10,92.81820580067,-0.08648689572444675,0,longonly
2023-01-17,55.927344086917465,0.01856664938898215,0,longonly
2023-01-24,89.13762853765928,0.016575956848219824,0,longonly
2023-01-31,48.53745699670436,0.049648764583929715,0,longonly
2023-02-07,70.61133525308118,-0.00012550673998499326,0,longonly
2023-02-14,77.62224953872635,0.0010406759830980672,0,longonly
2023-02-21,74.40077992028611,0.031710512833825706,0,longonly
2023-02-28,121.00137185830012,0.05875452419255296,0,longonly
2023-03-07,171.2854797373815,-0.12049254102707395,0,longonly
2023-03-14,177.1702595229261,0.035053480233084605,0,longonly
2023-03-21,276.8495116882713,-0.0026875582814701164,0,longonly
2023-03-28,140.98439225479927,0.043033728142656706,0,longonly
2023-04-04,57.22588227961539,0.047885544450026615,0,longonly
2023-04-11,68.891368029583,-0.062108349503912516,0,longonly
2023-04-18,57.41184471690704,0.021585318405246228,0,longonly
2023-04-25,106.29422132726427,-0.1509174034171129,0,longonly
2023-05-02,112.29605614752143,0.34426872180158324,0,longonly
2023-05-09,134.09607764160307,-0.15118751348529844,0,longonly
2023-05-16,219.89711579963097,0.05676985219838957,0,longonly
2023-05-23,310.459418515147,0.13053541300330326,0,longonly
2023-05-30,259.84838028669543,-0.22182329892007133,0,longonly
2023-06-06,186.68145516157068,0.1667753098564443,0,longonly
2023-06-13,281.3458087975168,0.017851778871597262,0,longonly
2023-06-20,181.21397210838194,-0.012598710733300362,0,longonly
2023-06-27,115.82415732311897,-0.1672582069955574,0,longonly
2023-07-04,137.54142016253857,0.3030354018234577,0,longonly
2023-07-11,230.346048970843,0.13714932907259292,0,longonly
2023-07-18,128.15833375265981,-0.012496083829233827,0,longonly
2023-07-25,87.64193104371573,0.03740964093305706,0,longonly
2023-08-01,68.40262974271911,-0.17184920316382687,0,longonly
2023-08-08,73.07578133679363,0.03937942460529483,0,longonly
2023-08-15,139.1971509664797,0.004175698316862207,0,longonly
2023-08-22,152.66860034703754,0.015118658419799395,0,longonly
2023-08-29,113.64927403314879,-0.2635651045818189,0,longonly
2023-09-05,160.43641201712666,0.4093698385362773,0,longonly
2023-09-12,168.4687805844739,0.036138821145716093,0,longonly
2023-09-19,98.53341711463929,0.008664369296087663,0,longonly
2023-09-26,101.6302740385276,-0.16258361030955287,0,longonly
2023-10-03,74.55441282122398,0.0881673925853654,0,longonly
2023-10-10,98.1049991251674,0.02319766521825075,0,longonly
2023-10-17,78.95756129660661,-0.029312577810101006,0,longonly
2023-10-24,91.97980395518411,-0.004866024837480955,0,longonly
2023-10-31,77.64738467823884,-0.21327737906098523,0,longonly
2023-11-07,118.76087151225478,0.13177412742528485,0,longonly
2023-11-14,86.36018285990488,0.036062329927199446,0,longonly
2023-11-21,141.8507163420136,0.024365994831205738,0,longonly
2023-11-28,138.5143506798696,-0.2515316718353739,0,longonly
2023-12-05,53.247573556796304,0.16650604973096597,0,longonly
2023-12-12,21.834824181469436,0.05985169650291829,0,longonly
2023-12-19,33.7023654003947,0.006376179230442021,0,longonly
2023-12-26,59.74660441509074,-0.0034523419261806854,0,longonly
2024-01-02,42.69092577276037,0.1759440955209603,0,longonly
2024-01-09,86.1178945657009,-0.1012688543136292,0,longonly
2024-01-16,132.63839747628134,0.048828298966071944,0,longonly
2024-01-23,211.6031924742653,0.04067230431776779,0,longonly
2024-01-30,190.25875863886563,0.11263884486788373,0,longonly
2024-02-06,188.9371541479182,0.17050189904523275,0,longonly
2024-02-13,238.52639814455316,0.06972665008679331,0,longonly
2024-02-20,174.2918929527281,0.058915179848377894,0,longonly
2024-02-27,294.6067125148894,0.1824776945103284,0,longonly
2024-03-05,278.2442285921989,0.08363708453307986,0,longonly
2024-03-12,199.8579468981858,-0.162665340421548,0,longonly
2024-03-19,242.70496771641396,0.05739467145440075,0,longonly
2024-03-26,245.07420085734384,-0.3001662376203474,0,longonly
2024-04-02,106.90316239310721,0.38388785336707865,0,longonly
2024-04-09,105.88319731444794,-0.008586985236970674,0,longonly
2024-04-16,53.60054194381095,0.02384387584442159,0,longonly
2024-04-23,88.27218716085521,0.050979151083956425,0,longonly
2024-04-30,114.30410226137111,0.13445693476983228,0,longonly
2024-05-07,163.2244325029559,-0.025466870025204685,0,longonly
2024-05-14,141.00292109060618,0.048255675809218995,0,longonly
2024-05-21,265.4222895308109,0.06655531801905042,0,longonly
2024-05-28,247.34717439868297,-0.17737606271261652,0,longonly
2024-06-04,192.27620813755033,0.1564784899352133,0,longonly
2024-06-11,222.65435480204633,0.04844706780062512,0,longonly
2024-06-18,151.78523095854547,-0.03910030664162585,0,longonly
2024-06-25,116.31432496199668,0.018610852402719494,0,longonly
2024-07-02,144.5096796246544,0.15084442397305742,0,longonly
2024-07-09,109.92489092748738,0.15997093889983968,0,longonly
2024-07-16,65.93613746002232,0.008843306446549426,0,longonly
2024-07-23,68.79180811402662,0.04283255452363634,0,longonly
2024-07-30,40.93318513202849,-0.13283041912753002,0,longonly
2024-08-06,54.10380266105775,0.1946860935000099,0,longonly
2024-08-13,65.93162421639485,0.034238436572901765,0,longonly
2024-08-20,62.96968926203923,0.0073646403089540294,0,longonly
2024-08-27,43.28684942319071,-0.2335490214575171,0,longonly
2024-09-03,30.478197071695405,0.3064530764282268,0,longonly
2024-09-10,68.51099605477351,-0.052730009972799266,0,longonly
2024-09-17,154.824795318885,0.061107917745686996,0,longonly
2024-09-24,228.43465105669236,0.02193303985812695,0,longonly
2024-10-01,228.6426858588058,0.5567652570233721,0,longonly
2024-10-08,232.08890836796525,0.2983817885796999,0,longonly
2024-10-15,182.2822434022785,0.04634824895507454,0,longonly
2024-10-22,316.1301737636147,0.02703967071742966,0,longonly
2024-10-29,289.7003078596805,-0.2740353166621136,0,longonly
2024-11-05,235.5710523748187,0.7751803419921429,0,longonly
2024-11-12,252.09683017293654,-0.053088702846084135,0,longonly
2024-11-19,314.8894095933982,0.02803946289236689,0,longonly
2024-11-26,197.55740687195345,-0.3723198557017158,0,longonly
2024-12-03,113.9274851585429,0.05966651593667528,0,longonly
2024-12-10,84.55982780505505,0.3900074459833295,0,longonly
2024-12-17,129.94625008953784,0.006321458410274863,0,longonly
2024-12-24,143.18282971357985,-0.016941509994307394,0,longonly
2024-12-31,108.67977511760928,0.0,0,longonly
2025-01-07,170.77153818317086,-0.046472089188514025,0,longonly
2025-01-14,228.21878426974342,0.05856344663756607,0,longonly
2025-01-21,111.92703521143258,-0.04357806266409598,0,longonly
2025-01-28,129.06717411308082,0.020738921571159124,0,longonly
2025-02-04,234.6522623935535,0.43198764700037734,0,longonly
2025-02-11,257.78140996277006,-0.11151650335755951,0,longonly
2025-02-18,156.79240859779634,-0.04249064454913537,0,longonly
2025-02-25,45.84097267158822,0.018653214243416004,0,longonly
2025-03-04,38.436849640145084,-0.018616098102996102,0,longonly
2025-03-11,32.82347745573385,0.08500390823333996,0,longonly
2025-03-18,34.71173372018304,0.009488994582451591,0,longonly
2025-03-25,47.103063391757345,0.014960782480337784,0,longonly
2025-04-01,62.60839401524041,0.029585316361149496,0,longonly
2025-04-08,63.00453668280381,0.21794238289346846,0,longonly
2025-04-15,118.21348847520184,-0.003831512085240276,0,longonly
2025-04-22,118.49000808185376,0.04801826812288713,0,longonly
2025-04-29,132.03391156051507,0.04424594657249384,0,longonly
2025-05-06,75.54575268849219,0.23504648044962317,0,longonly
2025-05-13,181.51782946997076,0.010815238716985925,0,longonly
2025-05-20,222.26665743138568,0.0016980721661840525,0,longonly
2025-05-27,272.39894015463904,-0.11819333680028246,0,longonly
2025-06-03,249.16753306541165,0.38831998839637205,0,longonly
2025-06-10,211.83081182858805,-0.1581159057116478,0,longonly
2025-06-17,276.07391593107474,0.02914164195812646,0,longonly
2025-06-24,293.8445153241471,0.03691151379345368,0,longonly
2025-07-01,213.62918330148236,0.37402634695446363,0,longonly
2025-07-08,216.95743373698207,-0.02248258243912696,0,longonly
2025-07-15,268.25776162133167,0.019938425609442405,0,longonly
2025-07-22,123.01548097970544,0.05832370975765839,0,longonly
2025-07-29,182.20624677827595,-0.3968554097450343,0,longonly
2025-08-05,122.96624855795451,0.3502514162897118,0,longonly
2025-08-12,86.51459595172102,-0.03193026589733866,0,longonly
2025-08-19,37.98629898077558,0.01813361906073667,0,longonly
2025-08-26,84.51024801854344,-0.19101673166786481,0,longonly
2025-09-02,144.94631812236483,-0.020863874865314873,0,longonly
2025-09-09,301.95533174037695,0.09644709152847782,0,longonly
2025-09-16,393.00978113945706,0.059387159146200616,0,longonly
2025-09-23,391.02671187309073,0.035625613917487226,0,longonly
2025-09-30,262.7789437572816,-0.24977634389161535,0,longonly
2025-10-07,160.53893913302113,0.2359504517015351,0,longonly
2025-10-14,183.25780452097,0.047635245379211114,0,longonly
2025-10-21,169.85282441033044,0.05846352043226982,0,longonly
2025-10-28,226.1809413352834,-0.4477021939929478,0,longonly
2025-11-04,277.8417901490322,0.38034876175006355,0,longonly
2025-11-11,151.15047658984955,-0.007333375414871213,0,longonly
2025-11-18,164.86435890820698,0.038378203188552965,0,longonly
2025-11-25,149.85283723615248,0.009339615720791148,0,longonly
2025-12-02,73.50456719823956,0.11976354700213135,0,longonly
2025-12-09,119.90490788244836,0.2857097035080382,0,longonly
2025-12-16,79.07806994678086,0.03556221464063478,0,longonly
2025-12-23,176.78710987577705,8.482459621603059e-05,0,longonly
2025-12-30,174.83064292459102,-0.010555727747227963,0,longonly
2026-01-06,267.17373447821984,0.0,0,longonly
2026-01-13,286.59455973342943,0.03194930801500993,0,longonly
2026-01-20,7.172081981983211,0.03712765053454252,0,longonly
